"F [GHz]","Ldiff [] - $S='8um'","Ldiff [] - $S='11um'","Ldiff [] - $S='12um'","Ldiff [] - $S='14um'","Ldiff [] - $S='16um'","Qdiff [] - $S='8um'","Qdiff [] - $S='11um'","Qdiff [] - $S='12um'","Qdiff [] - $S='14um'","Qdiff [] - $S='16um'"
6.4,16.0253317065025,10.0816104298631,9.25557591977548,8.11315517922385,7.18118827426581,5.96843747553619,9.30821858217664,9.90273497218365,10.9040404149998,12.1740065965487
6.45,16.7297234644648,10.3069024842253,9.43672162808534,8.24352334493089,7.27387877485552,5.68875076893188,9.07975462816778,9.68669529551898,10.7069135515049,11.9909221382563
6.5,17.5037811144664,10.5445610599746,9.62676657627031,8.37935114345144,7.36984267100949,5.40715772899422,8.84955661691903,9.46902010437527,10.5081226807592,11.8063058251553
6.55,18.3577889917039,10.7955949047899,9.82635625238925,8.52097223405489,7.46924583540416,5.12375549826904,8.61769260463698,9.24977236658093,10.3077251998679,11.6202111693767
6.6,19.3040131887408,11.061123989446,10.0361994698398,8.66874791232022,7.57226556879246,4.83864120772237,8.38423017018752,9.02901448505321,10.1057779481587,11.4326909861386
6.65,20.3571424415597,11.3423949426871,10.2570761877619,8.82306999105249,7.67909158917068,4.55191193547722,8.14923640451955,8.80680829165318,9.90233720169832,11.2437973920921
6.7,21.5348178346603,11.6407990616549,10.4898464951695,8.98436404387407,7.78992712441189,4.26366466590289,7.9127779007526,8.58321504168216,9.69745866845771,11.0535818043009
6.75,22.8582449357072,11.9578933956769,10.7354609604328,9.15309306490707,7.90499012104751,3.97399624907131,7.67492074490188,8.35829540898979,9.49119748410096,10.862094939825
6.8,24.3528438605888,12.2954255085924,10.994972587176,9.3297616069371,8.02451458365852,3.68300336059409,7.43573050721534,8.13210948166578,9.28360820836933,10.6693868158824
6.85,26.048800104784,12.6553626567177,11.269550665512,9.51492047110163,8.14875206139886,3.39078246185423,7.19527223409716,7.90471675828719,9.07474482203318,10.475506750562
6.9,27.9811608443343,13.0399262814099,11.5604968656615,9.70917203381946,8.27797330056331,3.09742976064608,6.95361044059219,7.67617614469377,8.86466072438691,10.2805033640613
6.95,30.1886120013167,13.4516329130429,11.8692639916413,9.91317631178481,8.41247008488999,2.80304117223713,6.71080910340728,7.44654595126526,8.65340873126017,10.0844245804248
